id,survey_year,course_mode,course_level,programme_id,programme,discipline_group_id,broad_discipline_group,discipline,appeared_female,appeared_total,passed_female,passed_total,first_class_passed_female,first_class_passed_total
595,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,52,Law,Research,0,0,0,0,0,0
595,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,185,Information Technology,Research,0,0,0,0,0,0
765,2015,Regular,Under Graduate,36,B.Tech.-Bachelor of Technology,23,Mechanical Engineering,Mechanical,0,0,0,0,0,0
663,2015,Regular,Post Graduate,122,M.Tech. -Master of Technology,16,Civil Engineering,CONSTRUCTION PROJECT MGNT,0,0,0,0,0,0
663,2015,Regular,Under Graduate,36,B.Tech.-Bachelor of Technology,17,Computer Engineering,ENGINEERING,0,0,0,0,0,0
663,2015,Regular,Post Graduate,122,M.Tech. -Master of Technology,19,Electrical Engineering,DIGITAL COMMUNICATIONS,8,11,8,11,8,11
663,2015,Regular,Post Graduate,122,M.Tech. -Master of Technology,19,Electrical Engineering,ELECTRIC POWER SYSTEM,0,0,0,0,0,0
663,2015,Regular,Under Graduate,9,B.Architecture-Bachelor of Architecture,14,Architecture,ARCHITECTURE,0,0,0,0,0,0
663,2015,Regular,Under Graduate,30,B.Sc.-Bachelor of Science,171,Science,AIRCRAFT MAINTENANCE,2,12,2,9,2,9
663,2015,Regular,Under Graduate,46,B.C.A.-Bachelor of Computer Applications,183,Computer Application,Computer Application,0,0,0,0,0,0
663,2015,Regular,Post Graduate,126,M.B.A.- Master of Business Administration,133,Business Administration,MBA,0,0,0,0,0,0
663,2015,Regular,Under Graduate,30,B.Sc.-Bachelor of Science,183,Computer Application,Science,0,0,0,0,0,0
663,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,107,Other Science,INFORMATION TECHNOLOGY,16,27,14,23,12,20
663,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,23,Mechanical Engineering,Doctor of Philosophy,0,0,0,0,0,0
